location,title,short_description,price,square_meters,bedrooms,parking,bathroom,cluster,latitude,longitude
san salvador," vendo casa en la satélite, san salvador 453.92 v²",area total de 453.92 v² y construccion 338 m² en 2 niveles. 1er nivel cochera 3 carros. habitaciones 4 baños 3 sala 1 comedor 1 estudio 1 area de servicio completa. área de ...,290000,338.0,7,3,4,0,13.6929403,-89.2181911
san salvador," casa en venta en colonia flor blanca, privado","se encuentra en las cercanías de fudem, pasaje privado. ideal para vivienda u oficina, cuenta con seguro muro perimetral y amplios espacios que se pueden adecuar según sus ...",325000,320.0,3,7,1,0,13.6929403,-89.2181911
ilopango," gran oportunida col. sta eduviges, ilopango","gran oportunidad colonia santa eduviges, ilopango (contiguo a col. sta. lucia) aprovecha esta oportunidad de tener tu propia casa! 3 habitaciones 1 baño cosina sala comedor 2 accesos ...",59000,112.0,3,1,1,0,13.6992804,-89.105744
nuevo cuscatlán, casa en venta en condado santa elena,descripción: 715v2 450mts2 de construcción 2 niveles estilo moderno 4 habitaciones con baño cada/u (1 de ellas en 1er nivel) sala comedor cocina abierta con barra ...,625000,450.0,4,3,5,1,13.649671,-89.26810189999999
ilopango," vendo casa ilopango, colonia las cañas","piso de ceramica nuevo en toda la casa, 3 cuartos, amplia sala y área para comedor y cocina, sanitarios y lavamanos nuevo, pila nueva para 12 barriles , area de ducha y pila techada ...",33500,102.67469879518072,3,2,1,0,13.6992804,-89.105744
san salvador, casa en venta arcos de la cima 4 habitaciones y 3 parqueos,la residencia incluye: primera planta 2 parqueos techados y 1 parqueo frente a la casa sala independiente. comedor independiente. 1 pequeña bodega. area de estudio. cocina y ...,199000,145.0,4,3,4,0,13.6929403,-89.2181911
san salvador, venta de casa en miralvalle,"*venta de casa de dos plantas en miralvalle* *descripción de la propiedad:* *ubicación:* miralvalle, en un residencial privado. *área de construcción:* 143,48 m² *distribución:* ...",180000,143.0,4,3,3,0,13.6929403,-89.2181911
san salvador, vendo casa en residencial serra florida,1er nivel: parqueo para 3 vehículos cisterna sala familiar muy amplia baño social cocina completa y moderna área de servicio completo y jardín muy amplio. 2do nivel: 3 ...,395000,300.0,3,3,2,0,13.6929403,-89.2181911
san miguel, gran oportunidad de inversión av roosevelt san miguel,"oportunidad de inversión a pocos metros de av roosevelt, cercano a cementerio general. doble acceso por calle chaparratique y final 2a calle poniente en el barrio san felipe. área de ...",400000,362.0,3,1,1,1,13.4792922,-88.1779182
nuevo cuscatlán, apartamento en venta life santa elena 3 habitaciones se vende con muebles nuevo cuscatlán,se vende apartamento moderno a puerta cerrada en life santa elena medida de apartamento 115.9m2 medida de parqueos 25m2 área total de construcción privada: 140.9m2 apartamento full ...,334999,116.0,3,2,4,0,13.649671,-89.26810189999999
